#: name: Table 5
#: description: The measured fiducial cross sections. The first systematic uncertainty is the combined systematic uncertainty excluding luminosity, the second is the luminosity
#: data_file: data5.yaml
#: keyword reactions: P P --> Z0 Z0 X
#: keyword observables: SIG
#: keyword energies: 7000
'','SRttee','stat +','stat -','sys +','sys -'
'ttbarW/Z',0.58,0.06,-0.06,0.25,-0.25
'ttbarH',0.05,0.02,-0.02,0.01,-0.01
'Dibosons',0.27,0.14,-0.14,0.07,-0.07
'Fake/non-prompt',0.87,0.79,-0.79,0.61,-0.61
'Q mis-Id',2.66,0.25,-0.25,1.04,-0.96
'Other bkg',0.01,0.08,-0.08,0.0,-0.0
'Total bkg',4.5,0.8,-0.8,1.3,-1.2
'Data',6.0,0,0,0,0
'p-value',0.38,0,0,0,0

'','SRTTemu','stat +','stat -','sys +','sys -'
'ttbarW/Z',1.2,0.09,-0.09,0.53,-0.53
'ttbarH',0.12,0.02,-0.02,0.02,-0.02
'Dibosons',0.38,0.09,-0.09,0.1,-0.1
'Fake/non-prompt',2.92,1.27,-1.27,2.04,-2.04
'Q mis-Id',2.79,0.26,-0.26,0.96,-0.92
'Other bkg',0.05,0.08,-0.08,0.01,-0.01
'Total bkg',7.5,1.3,-1.3,2.5,-2.5
'Data',5.0,0,0,0,0
'p-value',0.84,0,0,0,0

'','SRTTmumu','stat +','stat -','sys +','sys -'
'ttbarW/Z',0.64,0.07,-0.07,0.28,-0.28
'ttbarH',0.03,0.01,-0.01,0.01,-0.01
'Dibosons',0.19,0.12,-0.12,0.04,-0.04
'Fake/non-prompt',0.34,0.29,-0.29,0.24,-0.24
'Q mis-Id','-',0,0,0,0
'Other bkg',0.12,0.11,-0.11,0.03,-0.03
'Total bkg',1.3,0.3,-0.3,0.4,-0.4
'Data',2.0,0,0,0,0
'p-value',0.45,0,0,0,0

