#: name: Table 9
#: description: The observed and expected EmissT distribution in the dielectron SR-Z. The negigible estimated contribution from Z+jets is omitted in these distributions. The last bin contains the overflow.
#: data_file: data9.yaml
#: keyword energies: 8000
#: EVENTS [GEV],,,25
#: SQRT(S) [GeV],,,8000.0
'ETMISS [GEV]','ETMISS [GEV] LOW','ETMISS [GEV] HIGH','Data'
212.5,200.0,225.0,0.0
237.5,225.0,250.0,6.0
262.5,250.0,275.0,1.0
287.5,275.0,300.0,1.0
312.5,300.0,325.0,1.0
337.5,325.0,350.0,2.0
362.5,350.0,375.0,1.0
387.5,375.0,400.0,1.0
412.5,400.0,425.0,0.0
437.5,425.0,450.0,1.0
462.5,450.0,475.0,0.0
487.5,475.0,500.0,2.0

#: EVENTS [GEV],,,25
#: SQRT(S) [GeV],,,8000.0
'ETMISS [GEV]','ETMISS [GEV] LOW','ETMISS [GEV] HIGH','Expected Background','error +','error -'
212.5,200.0,225.0,0.0,0.0,-0.0
237.5,225.0,250.0,0.95,0.41,-0.51
262.5,250.0,275.0,0.9,0.41,-0.26
287.5,275.0,300.0,0.42,0.12,-0.19
312.5,300.0,325.0,0.34,0.16,-0.15
337.5,325.0,350.0,0.07,0.19,-0.16
362.5,350.0,375.0,0.68,0.56,-0.55
387.5,375.0,400.0,0.17,0.1,-0.15
412.5,400.0,425.0,0.24,0.11,-0.1
437.5,425.0,450.0,0.01,0.08,-0.08
462.5,450.0,475.0,0.3,0.33,-0.33
487.5,475.0,500.0,0.16,0.17,-0.14

#: EVENTS [GEV],,,25
#: SQRT(S) [GeV],,,8000.0
'ETMISS [GEV]','ETMISS [GEV] LOW','ETMISS [GEV] HIGH','GGM 700 200 1.5'
212.5,200.0,225.0,0.0
237.5,225.0,250.0,6.46
262.5,250.0,275.0,6.82
287.5,275.0,300.0,2.82
312.5,300.0,325.0,2.41
337.5,325.0,350.0,3.11
362.5,350.0,375.0,0.7
387.5,375.0,400.0,0.9
412.5,400.0,425.0,0.69
437.5,425.0,450.0,0.72
462.5,450.0,475.0,0.0
487.5,475.0,500.0,0.93

#: EVENTS [GEV],,,25
#: SQRT(S) [GeV],,,8000.0
'ETMISS [GEV]','ETMISS [GEV] LOW','ETMISS [GEV] HIGH','GGM 900 600 1.5'
212.5,200.0,225.0,0.0
237.5,225.0,250.0,0.97
262.5,250.0,275.0,1.07
287.5,275.0,300.0,1.17
312.5,300.0,325.0,1.05
337.5,325.0,350.0,1.08
362.5,350.0,375.0,1.13
387.5,375.0,400.0,1.2
412.5,400.0,425.0,1.01
437.5,425.0,450.0,0.94
462.5,450.0,475.0,0.88
487.5,475.0,500.0,4.59

